Age,Income,Credit_Score,Loan_Amount,Loan_Term,Employment_Status,Loan_Approved
56,81788,334,15022,48,Employed,0
69,102879,781,21013,24,Self-Employed,1
46,58827,779,39687,60,Self-Employed,0
32,127188,364,16886,24,Unemployed,0
60,25655,307,26256,36,Unemployed,0
25,64859,600,31005,36,Employed,0
38,73625,642,7638,24,Employed,0
56,72098,730,38419,36,Self-Employed,0
36,35251,723,34377,36,Employed,0
40,142413,631,41708,60,Employed,0
28,20526,737,44116,48,Unemployed,0
28,88760,473,37634,60,Employed,0
41,67837,826,17755,12,Employed,1
53,145133,325,24382,60,Employed,0
57,149478,705,23394,24,Employed,1
41,31536,531,3253,48,Self-Employed,0
20,48541,832,38710,24,Employed,0
39,99083,849,46098,12,Employed,0
19,71027,804,1864,48,Employed,1
41,54531,478,35036,36,Unemployed,0
61,28712,431,41222,60,Unemployed,0
47,124101,754,14666,24,Employed,1
55,85455,647,21955,12,Unemployed,0
19,94744,839,46138,36,Employed,0
38,141787,705,38997,60,Self-Employed,0
50,149749,375,17309,36,Employed,0
29,25109,791,5054,60,Unemployed,0
39,141332,493,1935,48,Employed,0
61,69268,461,45940,36,Employed,0
42,120737,646,23778,36,Employed,0
66,74615,660,44298,36,Self-Employed,0
44,102503,386,49328,48,Employed,0
59,143274,561,49924,12,Self-Employed,0
45,49759,513,17709,60,Employed,0
33,105708,561,10726,36,Employed,0
32,80112,582,41542,48,Employed,0
64,122471,766,21245,12,Self-Employed,1
68,146740,679,35753,60,Employed,0
61,143153,661,15252,48,Self-Employed,1
69,46589,748,22316,60,Self-Employed,0
20,50015,740,38371,36,Self-Employed,0
54,49009,392,20162,12,Employed,0
68,103309,723,16960,48,Unemployed,1
24,146446,441,31791,12,Unemployed,0
38,82046,590,43230,36,Employed,0
26,126661,731,26216,12,Unemployed,1
56,46143,348,33467,12,Employed,0
35,26154,601,47934,24,Employed,0
21,41804,489,8754,12,Employed,0
42,61688,435,48014,60,Employed,0
31,84288,703,5078,48,Employed,1
67,71195,640,13853,24,Employed,0
26,40581,617,5042,48,Unemployed,0
43,72648,662,15389,48,Employed,1
19,50087,681,31425,36,Employed,0
37,69930,532,3575,36,Employed,0
45,52981,643,40522,24,Employed,0
64,89298,848,29179,36,Unemployed,1
24,66167,828,35754,36,Employed,0
61,95304,482,19624,36,Unemployed,0
25,63408,340,21350,48,Employed,0
64,59499,696,27681,24,Unemployed,1
52,145816,793,24988,48,Employed,1
31,72269,632,16470,60,Employed,0
34,58559,426,25704,48,Unemployed,0
53,134126,300,39736,60,Employed,0
67,94319,467,30377,12,Unemployed,0
57,131925,318,29572,12,Unemployed,0
21,115317,631,8493,60,Employed,0
19,116347,755,5103,60,Employed,1
23,68787,408,35844,48,Employed,0
59,55488,567,3994,60,Self-Employed,0
21,94441,744,4744,24,Unemployed,1
46,94663,539,48234,12,Employed,0
35,42431,600,48291,12,Employed,0
43,81681,402,28332,60,Employed,0
61,83483,549,6594,36,Self-Employed,0
51,142720,752,41299,36,Employed,0
27,69153,819,8371,60,Employed,1
53,26368,452,48315,24,Self-Employed,0
31,47424,473,19028,36,Employed,0
48,132360,642,36912,60,Employed,0
65,65004,730,14990,24,Self-Employed,1
32,103869,623,47851,24,Unemployed,0
25,108652,719,17626,48,Employed,1
31,132755,784,21469,24,Employed,1
40,76985,711,41722,36,Employed,0
57,70069,383,41037,36,Employed,0
38,72326,412,8130,60,Self-Employed,0
33,128737,631,7828,60,Employed,0
62,101061,677,42612,24,Unemployed,0
35,43398,340,47988,12,Self-Employed,0
64,118393,404,40099,48,Employed,0
41,70861,501,47165,12,Employed,0
43,95897,749,18883,24,Employed,1
42,101905,565,44059,24,Self-Employed,0
62,147118,509,19542,12,Self-Employed,0
58,88577,417,43932,48,Employed,0
46,85641,676,11450,12,Unemployed,1
32,29078,839,21423,60,Employed,0
62,45003,383,3035,36,Self-Employed,0
18,82768,753,45231,60,Employed,0
42,71047,813,41745,36,Employed,0
